gindex,gtype,location,Pg,Qg,Qmax,Qmin,Vg,mBase,status,Pmax,Pmin,cost-2nd,cost-1st,cost-nl,SUcost,SDcost,RU,RD,UPtime,Dntime,Zone name
38,Gas,5,0,0,0,0,0,1,0,159.92,0,0,57,3858.73,66889.42,0,400,400,12,12,E
39,Gas,6,0,0,0,0,0,1,0,929.7,0,0,30,3858.73,66889.42,0,400,400,12,12,F
40,Gas,7,0,0,0,0,0,1,0,681.78,0,0,23.13,3858.73,66889.42,0,400,400,12,12,G
41,Gas,10,0,0,0,0,0,1,0,433.86,0,0,23.13,3858.73,66889.42,0,400,400,12,12,J
42,Gas,11,0,0,0,0,0,1,0,1053.66,0,0,23.13,3858.73,66889.42,0,400,400,12,12,K
43,Wind_LB,1,0,0,0,0,0,1,0,306.72,0,0,0,0,0,0,0,0,0,0,A
44,Wind_LB,3,0,0,0,0,0,1,0,1533.6,0,0,0,0,0,0,0,0,0,0,C
45,Wind_LB,4,0,0,0,0,0,1,0,1993.68,0,0,0,0,0,0,0,0,0,0,D
46,Wind_LB,5,0,0,0,0,0,1,0,1278,0,0,0,0,0,0,0,0,0,0,E
47,Wind_OS,11,0,0,0,0,0,1,0,8216,0,0,0,0,0,0,0,0,0,0,K
48,PV,1,0,0,0,0,0,1,0,1587.8,0,0,0,0,0,0,0,0,0,0,A
49,PV,2,0,0,0,0,0,1,0,1587.8,0,0,0,0,0,0,0,0,0,0,B
50,PV,3,0,0,0,0,0,1,0,1587.8,0,0,0,0,0,0,0,0,0,0,C
51,PV,4,0,0,0,0,0,1,0,1587.8,0,0,0,0,0,0,0,0,0,0,D
52,PV,5,0,0,0,0,0,1,0,1587.8,0,0,0,0,0,0,0,0,0,0,E
53,PV,11,0,0,0,0,0,1,0,2074,0,0,0,0,0,0,0,0,0,0,K
